symbol,timestamp,open,high,low,close,volume,trade_count,vwap,SMA_20,EMA_20,RSI_14,MACD,MACD_SIGNAL,MACD_HIST,ATR_14
SPY,2025-06-04 04:00:00,596.96,597.95,595.49,595.93,57314199.0,629200.0,596.938002,585.4219999999991,583.4576513927684,64.31372955167963,9.179602239979317,9.348476390742663,-0.16887415076334555,8.41722504439834
SPY,2025-06-05 04:00:00,597.63,599.0,591.05,593.05,92436397.0,944088.0,595.168768,587.0169999999991,584.371208402981,61.27194529514143,8.821128620081936,9.243006836610517,-0.42187821652858126,8.383851826941319
SPY,2025-06-06 04:00:00,598.66,600.83,596.86,599.14,66588743.0,768591.0,599.222242,588.7209999999991,585.7777599836495,65.03756042124293,8.925559503409204,9.179517369970254,-0.25395786656105024,8.340719553588373
SPY,2025-06-09 04:00:00,599.72,601.25,598.49,599.68,53016418.0,637329.0,600.053937,590.4879999999991,587.1017828423495,65.35919253433418,8.948739716803402,9.133361839336883,-0.1846221225334812,7.942096728332061
SPY,2025-06-10 04:00:00,600.22,603.47,599.09,603.08,66246973.0,674474.0,601.631918,591.4924999999992,588.6235178097448,67.39312573072648,9.136145984086056,9.133918668286718,0.0022273157993382142,7.687661247736913
SPY,2025-06-11 04:00:00,604.19,605.06,599.27,601.36,73658225.0,808639.0,602.345297,592.2184999999992,589.8365161135787,65.30419531463912,9.041650655215335,9.115465065672442,-0.07381441045710702,7.552114015755703
SPY,2025-06-12 04:00:00,600.01,603.75,599.52,603.75,64129003.0,689902.0,602.541248,593.0264999999991,591.1616098170474,66.84216805305408,9.055232370143244,9.103418526566603,-0.048186156423358995,7.31482015748744
SPY,2025-06-13 04:00:00,598.5,601.85,595.48,597.0,89487793.0,980337.0,598.204727,593.353499999999,591.7176469773286,58.900991788066825,8.424218245142129,8.967578470281708,-0.5433602251395797,7.383047289095479
SPY,2025-06-16 04:00:00,600.4,604.45,600.22,602.68,79984125.0,775607.0,602.741389,593.777499999999,592.7616805985355,62.89572270781577,8.286936885153864,8.831450153256139,-0.5445132681022748,7.387829625588663
SPY,2025-06-17 04:00:00,600.21,601.75,596.76,597.53,82209365.0,827346.0,599.19286,593.911499999999,593.2158062558178,57.443877536120254,7.674116026072966,8.599983327819505,-0.9258673017465391,7.282984652332327
SPY,2025-06-18 04:00:00,598.44,601.22,596.47,597.44,76605029.0,711298.0,598.886708,594.140999999999,593.6181104219304,57.35032012146514,7.099351922507367,8.299857046757078,-1.2005051242497107,7.102057177165732
SPY,2025-06-20 04:00:00,598.38,599.46,592.86,594.28,94051374.0,825556.0,595.125748,594.7119999999991,593.6811475246037,54.02337647075134,6.316054098659606,7.9030964571375835,-1.5870423584779774,7.066195950225324
SPY,2025-06-23 04:00:00,595.04,600.54,591.89,600.15,87426039.0,920372.0,597.020982,595.564999999999,594.2972287127367,58.80415589595748,6.098643506201483,7.542205866950363,-1.4435623607488797,7.179324810923513
SPY,2025-06-24 04:00:00,604.33,607.8499,603.41,606.78,67735293.0,682502.0,606.174705,596.9484999999991,595.4860640734285,63.429581249083455,6.387696249931537,7.311303943546598,-0.923607693615061,7.21650875300041
SPY,2025-06-25 04:00:00,607.91,608.61,605.54,607.12,62114767.0,645731.0,607.146716,597.7469999999992,596.5940579711971,63.654949956443104,6.568490322655293,7.162741219368337,-0.594250896713044,6.920329556357527
SPY,2025-06-26 04:00:00,608.99,612.31,608.37,611.87,78548361.0,630338.0,610.895254,598.9539999999992,598.0489095929879,66.73885015680598,7.014200888776145,7.133033153249899,-0.11883226447375428,6.796734588046271
SPY,2025-06-27 04:00:00,612.88,616.39,610.83,614.91,86258398.0,806398.0,613.935765,600.1969999999992,599.6547277269891,68.57654595385557,7.525977533015748,7.211622029203069,0.3143555038126795,6.7083964031858185
